date,year,eventLabel,typeLabel,category,impact,source,event_id
2021-01-01,2021,Vacina desenvolvida para HIV/AIDS,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,42
2020-01-01,2020,Acordo de paz em Europa,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,43
2022-01-01,2022,Revolução em Índia,Guerra/Conflito,Guerra/Conflito,Baixo,Synthetic_Historical_Dataset,44
2012-01-01,2012,Novo telescópio: Evento_44,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,45
1999-01-01,1999,Invasão de Índia,Guerra/Conflito,Guerra/Conflito,Baixo,Synthetic_Historical_Dataset,46
2022-01-01,2022,Crise financeira em Europa,Crise Econômica,Crise Econômica,Baixo,Synthetic_Historical_Dataset,47
1920-01-01,1920,Colapso bancário em Espanha,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,48
2015-01-01,2015,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,49
2011-01-01,2011,Lançamento de Carro elétrico,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,50
1973-01-01,1973,Batalha de Cidade do México (1973),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,51
1979-01-01,1979,Guerra em Ásia (1979),Guerra/Conflito,Guerra/Conflito,Baixo,Synthetic_Historical_Dataset,52
2023-01-01,2023,Mudança constitucional em França,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,53
2000-01-01,2000,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,54
1997-01-01,1997,Dívida soberana de Arábia Saudita,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,55
2013-01-01,2013,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,56
1996-01-01,1996,Golpe militar em Japão,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,57
2014-01-01,2014,Movimento social em Arábia Saudita,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,58
1907-01-01,1907,Revolução em Reino Unido,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,59
2018-01-01,2018,Lançamento de Robô,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,60
2011-01-01,2011,Guerra em Ásia (2011),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,61
2019-01-01,2019,Golpe militar em Alemanha,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,62
2016-01-01,2016,Quebra da bolsa em Cidade do México,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,63
2002-01-01,2002,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,64
2022-01-01,2022,Crise cambial em América Central,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,65
1998-01-01,1998,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,66
2016-01-01,2016,Furacão Evento_66 atinge Oceania,Desastre Natural,Desastre Natural,Médio,Synthetic_Historical_Dataset,67
2019-01-01,2019,Golpe militar em Brasil,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,68
1964-01-01,1964,Novo tratamento médico para HIV/AIDS,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,69
1987-01-01,1987,Golpe militar em Estados Unidos,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,70
2005-01-01,2005,Teoria revolucionária em Astronomia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,71
2016-01-01,2016,Tsunami no Pacífico,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,72
1983-01-01,1983,Crise de saúde global,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,73
2020-01-01,2020,Sequenciamento do Genoma_Y,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,74
2013-01-01,2013,Lançamento de Robô,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,75
2017-01-01,2017,Descoberta científica em Geologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,76
1995-01-01,1995,Novo tratamento médico para Alzheimer,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,77
2013-01-01,2013,Lançamento de Satélite_X,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,78
2010-01-01,2010,Acordo de paz em Sudeste Asiático,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,79
2016-01-01,2016,Avanço tecnológico em Matemática,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,80
1952-01-01,1952,Descoberta sobre Tuberculose,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,81
1999-01-01,1999,Terremoto em Pequim,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,82
2021-01-01,2021,Invasão de Estados Unidos,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,83
2012-01-01,2012,Independência de Canadá,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,84
2006-01-01,2006,Novo tratamento médico para Diabetes,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,85
1927-01-01,1927,Descoberta científica em Astronomia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,86
2018-01-01,2018,Quebra da bolsa em Londres,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,87
2019-01-01,2019,Novo tratamento médico para HIV/AIDS,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,88
2019-01-01,2019,Acordo de paz em Ásia,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,89
2012-01-01,2012,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,90
1971-01-01,1971,Seca prolongada em América do Sul,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,91
1962-01-01,1962,Mudança constitucional em Reino Unido,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,92
2015-01-01,2015,Crise cambial em África,Crise Econômica,Crise Econômica,Baixo,Synthetic_Historical_Dataset,93
1964-01-01,1964,Eleições presidenciais em Argentina,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,94
1970-01-01,1970,Golpe militar em México,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,95
2000-01-01,2000,Avanço tecnológico em Engenharia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,96
1997-01-01,1997,Independência de China,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,97
2019-01-01,2019,Avanço tecnológico em Física,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,98
1992-01-01,1992,Pandemia de HIV/AIDS,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,99
2019-01-01,2019,Sequenciamento do Genoma_Y,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,100
2016-01-01,2016,Descoberta científica em Matemática,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,101
1926-01-01,1926,Batalha de Sydney (1926),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,102
1994-01-01,1994,Seca prolongada em Sudeste Asiático,Desastre Natural,Desastre Natural,Baixo,Synthetic_Historical_Dataset,103
1950-01-01,1950,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,104
1969-01-01,1969,Movimento social em Rússia,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,105
2012-01-01,2012,Avanço em cirurgia Cardíaca,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,106
1959-01-01,1959,Eleições presidenciais em França,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,107
2023-01-01,2023,Novo telescópio: Evento_107,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,108
2016-01-01,2016,Descoberta científica em Engenharia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,109
2021-01-01,2021,Lançamento de Satélite_X,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Médio,Synthetic_Historical_Dataset,110
1996-01-01,1996,Seca prolongada em América Central,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,111
2010-01-01,2010,Conflito armado na América Central,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,112
1905-01-01,1905,Lançamento de Drones,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,113
2022-01-01,2022,Programa de saúde pública em França,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,114
1985-01-01,1985,Erupção vulcânica em Vulcão_X,Desastre Natural,Desastre Natural,Baixo,Synthetic_Historical_Dataset,115
2022-01-01,2022,Invasão de Índia,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,116
2002-01-01,2002,Quebra da bolsa em Rio de Janeiro,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,117
1960-01-01,1960,Acordo de paz em América Central,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,118
2016-01-01,2016,Mudança constitucional em México,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,119
1979-01-01,1979,Revolução em China,Guerra/Conflito,Guerra/Conflito,Baixo,Synthetic_Historical_Dataset,120
1936-01-01,1936,Furacão Evento_120 atinge Europa,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,121
1916-01-01,1916,Crise de saúde global,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,122
2007-01-01,2007,Crise cambial em Ásia,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,123
1980-01-01,1980,Recessão econômica global,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,124
2015-01-01,2015,Descoberta astronômica: Novo planeta,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,125
2005-01-01,2005,Crise cambial em Sudeste Asiático,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,126
1922-01-01,1922,Inflação alta em América do Sul,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,127
2019-01-01,2019,Descoberta científica em Geologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,128
1997-01-01,1997,Crise cambial em América Central,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,129
2020-01-01,2020,Golpe militar em Estados Unidos,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,130
1972-01-01,1972,Crise financeira em Oceania,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,131
1991-01-01,1991,Crise internacional envolvendo França e Japão,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,132
1963-01-01,1963,Inflação alta em Ásia,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,133
2002-01-01,2002,Teoria revolucionária em Biologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,134
1978-01-01,1978,Dívida soberana de Austrália,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,135
2022-01-01,2022,Sequenciamento do Genoma_Y,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,136
1981-01-01,1981,Inflação alta em Sudeste Asiático,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,137
2008-01-01,2008,Lançamento de Drones,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,138
1953-01-01,1953,Movimento social em Rússia,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,139
1963-01-01,1963,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,140
2024-01-01,2024,Dívida soberana de Índia,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,141
1991-01-01,1991,Avanço tecnológico em Psicologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,142
2011-01-01,2011,Revolução em Arábia Saudita,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,143
2021-01-01,2021,Recessão econômica global,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,144
2020-01-01,2020,Lançamento de Carro elétrico,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,145
2013-01-01,2013,Golpe militar em Rússia,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,146
1989-01-01,1989,Eclipse Cardíaca visível em Oriente Médio,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Médio,Synthetic_Historical_Dataset,147
1989-01-01,1989,Guerra em Europa (1989),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,148
2013-01-01,2013,Golpe militar em Brasil,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,149
1981-01-01,1981,Programa de saúde pública em Japão,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,150
2001-01-01,2001,Quebra da bolsa em Cidade do México,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,151
2016-01-01,2016,Descoberta científica em Biologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,152
2010-01-01,2010,Eleições presidenciais em Coreia do Sul,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,153
2002-01-01,2002,Teoria revolucionária em Astronomia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,154
2016-01-01,2016,Crise internacional envolvendo Alemanha e México,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,155
1991-01-01,1991,Inflação alta em América do Norte,Crise Econômica,Crise Econômica,Baixo,Synthetic_Historical_Dataset,156
2019-01-01,2019,Reforma política em Oriente Médio,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,157
2001-01-01,2001,Golpe militar em México,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,158
1993-01-01,1993,Guerra em Sudeste Asiático (1993),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,159
2008-01-01,2008,Movimento social em Alemanha,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,160
2017-01-01,2017,Vacina desenvolvida para Cardiovasculares,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,161
2023-01-01,2023,Dívida soberana de Reino Unido,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,162
2024-01-01,2024,Eleições presidenciais em Argentina,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,163
2018-01-01,2018,Tsunami no Pacífico,Desastre Natural,Desastre Natural,Médio,Synthetic_Historical_Dataset,164
2017-01-01,2017,Tsunami no Pacífico,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,165
2023-01-01,2023,Quebra da bolsa em Londres,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,166
1927-01-01,1927,Lançamento de Telefone celular,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,167
1915-01-01,1915,Invasão de Itália,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,168
1964-01-01,1964,Crise cambial em África,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,169
2011-01-01,2011,Revolução em Reino Unido,Guerra/Conflito,Guerra/Conflito,Baixo,Synthetic_Historical_Dataset,170
1949-01-01,1949,Crise de saúde global,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,171
1964-01-01,1964,Furacão Evento_171 atinge Oceania,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,172
2012-01-01,2012,Batalha de Berlim (2012),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,173
1933-01-01,1933,Batalha de Tóquio (1933),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,174
1923-01-01,1923,Invasão de Japão,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,175
2023-01-01,2023,Guerra em Ásia (2023),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,176
1996-01-01,1996,Invasão de China,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,177
2008-01-01,2008,Seca prolongada em África,Desastre Natural,Desastre Natural,Baixo,Synthetic_Historical_Dataset,178
2005-01-01,2005,Golpe militar em Japão,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,179
2016-01-01,2016,Recessão econômica global,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,180
2020-01-01,2020,Teoria revolucionária em Psicologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,181
1958-01-01,1958,Recessão econômica global,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,182
2016-01-01,2016,Independência de Canadá,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,183
2020-01-01,2020,Sequenciamento do Genoma_Y,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,184
2024-01-01,2024,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,185
2001-01-01,2001,Revolução em Índia,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,186
2024-01-01,2024,Recessão econômica global,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,187
2020-01-01,2020,Exploração de Marte,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Baixo,Synthetic_Historical_Dataset,188
2010-01-01,2010,Guerra em América Central (2010),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,189
2016-01-01,2016,Vacina desenvolvida para Parkinson,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,190
1905-01-01,1905,Quebra da bolsa em Berlim,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,191
2008-01-01,2008,Mudança constitucional em Estados Unidos,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,192
1984-01-01,1984,Guerra em América do Norte (1984),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,193
1996-01-01,1996,Reforma política em Ásia,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,194
1983-01-01,1983,Movimento social em Reino Unido,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,195
2007-01-01,2007,Crise internacional envolvendo França e Itália,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,196
2011-01-01,2011,Golpe militar em México,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,197
2023-01-01,2023,Lançamento de Inteligência Artificial,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,198
1978-01-01,1978,Exploração de Marte,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,199
1976-01-01,1976,Batalha de Pequim (1976),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,200
1970-01-01,1970,Incêndio florestal em Oriente Médio,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,201
1998-01-01,1998,Guerra em Oceania (1998),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,202
1969-01-01,1969,Revolução em Arábia Saudita,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,203
2007-01-01,2007,Avanço em cirurgia Cardíaca,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,204
2015-01-01,2015,Cometa Evento_204 observado,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Médio,Synthetic_Historical_Dataset,205
2015-01-01,2015,Sequenciamento do Genoma_Y,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,206
1980-01-01,1980,Descoberta científica em Engenharia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,207
2004-01-01,2004,Crise financeira em África,Crise Econômica,Crise Econômica,Baixo,Synthetic_Historical_Dataset,208
2018-01-01,2018,Terremoto em Pequim,Desastre Natural,Desastre Natural,Baixo,Synthetic_Historical_Dataset,209
